Id,SalePrice
1461,129379.9297
1462,159342.1719
1463,186311.1563
1464,191780.625
1465,190294.8281
1466,174560.6094
1467,169299.5938
1468,164738.4688
1469,177567.4844
1470,124687.75
1471,195931.0313
1472,92271.50781
1473,91607.46875
1474,153913.6094
1475,129349.7422
1476,373671.3125
1477,265406.0313
1478,285457.4375
1479,278569.0625
1480,484123.5625
1481,296882.4375
1482,202197.6094
1483,169995.4375
1484,164726.9219
1485,174192.7969
1486,193071.8281
1487,300016.5938
1488,228594.25
1489,219099.4375
1490,239547.7656
1491,184962.25
1492,91041.54688
1493,166293.5938
1494,287476.9375
1495,288678.3125
1496,248266.0625
1497,189669.375
1498,160440.0938
1499,157251.1094
1500,157253.0469
1501,204265.8438
1502,152525.7813
1503,289341.9688
1504,233900.6406
1505,227660.9844
1506,180367.8125
1507,265317.4063
1508,201710.2031
1509,160820.125
1510,145042.2344
1511,141551.1719
1512,171331.4531
1513,149332.9063
1514,192011.4531
1515,200930.1875
1516,147697.3594
1517,158811.2656
1518,131419.7188
1519,224794.625
1520,132301.7031
1521,132222.7031
1522,175071.7969
1523,113195.6484
1524,129356.1094
1525,116439.2813
1526,111242.4297
1527,109182.3516
1528,135213.8594
1529,140187.2656
1530,159947.4844
1531,127938.6797
1532,105694.4297
1533,154672.5313
1534,125460.4453
1535,144422.9375
1536,109088.6719
1537,61490.08203
1538,154324.5313
1539,182373.7031
1540,115617.6875
1541,143205.0469
1542,137355.2031
1543,216222.5156
1544,83127.07031
1545,105014.9219
1546,134917.5313
1547,137135.9688
1548,139696.0625
1549,112612.875
1550,150388.3281
1551,116875.7656
1552,138189.0156
1553,153249.1563
1554,108906.4375
1555,165792.0625
1556,69733.96875
1557,109377.0391
1558,104844.5625
1559,86351.82813
1560,141752.375
1561,138668.5313
1562,126027.0703
1563,122414.75
1564,170177.3594
1565,137979.0625
1566,228908.5938
1567,70899.60156
1568,221421.4531
1569,138784.9688
1570,143231.6563
1571,125921.875
1572,141008.6875
1573,251827.0781
